Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,SMCAP,'9776,,0.650,0.650,0.650,0.650,4000,No change,0
1420502400000,20150106,SMCAP,'9776,0.650,0.600,0.610,0.600,0.610,64000,Increased,2
1420588800000,20150107,SMCAP,'9776,0.610,0.610,0.610,0.610,0.610,2000,No change,0
1420675200000,20150108,SMCAP,'9776,0.610,0.620,0.620,0.620,0.620,20000,No change,0
1420761600000,20150109,SMCAP,'9776,0.620,0.600,0.600,0.600,0.600,5000,No change,0
1421020800000,20150112,SMCAP,'9776,0.600,0.600,0.600,0.600,0.600,-,Closed,0
1421107200000,20150113,SMCAP,'9776,0.600,0.600,0.600,0.600,0.600,3000,No change,0
1421193600000,20150114,SMCAP,'9776,0.600,0.620,0.620,0.620,0.620,17000,No change,0
1421280000000,20150115,SMCAP,'9776,0.620,0.600,0.620,0.600,0.620,81700,Increased,4
1421366400000,20150116,SMCAP,'9776,0.620,0.620,0.620,0.620,0.620,-,Closed,0
1421625600000,20150119,SMCAP,'9776,0.620,0.650,0.650,0.615,0.615,18000,Decreased,7
1421712000000,20150120,SMCAP,'9776,0.615,0.615,0.615,0.615,0.615,-,Closed,0
1421798400000,20150121,SMCAP,'9776,0.615,0.615,0.625,0.610,0.610,130000,Decreased,1
1421884800000,20150122,SMCAP,'9776,0.610,0.660,0.660,0.610,0.650,10300,Decreased,2
1421971200000,20150123,SMCAP,'9776,0.650,0.650,0.650,0.650,0.650,-,Closed,0
1422230400000,20150126,SMCAP,'9776,0.650,0.650,0.650,0.645,0.645,30000,Decreased,1
1422316800000,20150127,SMCAP,'9776,0.645,0.640,0.640,0.640,0.640,5000,No change,0
1422403200000,20150128,SMCAP,'9776,0.640,0.615,0.615,0.615,0.615,10000,No change,0
1422489600000,20150129,SMCAP,'9776,0.615,0.615,0.630,0.615,0.620,62000,Increased,1
1422576000000,20150130,SMCAP,'9776,0.620,0.620,0.630,0.620,0.630,52000,Increased,2
1423008000000,20150204,SMCAP,'9776,0.630,0.625,0.625,0.625,0.625,2000,No change,0
1423094400000,20150205,SMCAP,'9776,0.625,0.625,0.625,0.620,0.620,45000,Decreased,1
1423180800000,20150206,SMCAP,'9776,0.620,0.620,0.620,0.620,0.620,35000,No change,0
1423440000000,20150209,SMCAP,'9776,0.620,0.640,0.640,0.620,0.620,23000,Decreased,4
1423526400000,20150210,SMCAP,'9776,0.620,0.650,0.675,0.650,0.675,20000,Increased,5
1423612800000,20150211,SMCAP,'9776,0.675,0.640,0.640,0.640,0.640,22000,No change,0
1423699200000,20150212,SMCAP,'9776,0.640,0.640,0.645,0.640,0.645,12000,Increased,1
1423785600000,20150213,SMCAP,'9776,0.645,0.645,0.645,0.645,0.645,15000,No change,0
1424044800000,20150216,SMCAP,'9776,0.645,0.650,0.660,0.650,0.650,46700,No change,0
1424131200000,20150217,SMCAP,'9776,0.650,0.655,0.655,0.655,0.655,7700,No change,0
1424217600000,20150218,SMCAP,'9776,0.655,0.655,0.655,0.655,0.655,-,Closed,0
1424649600000,20150223,SMCAP,'9776,0.655,0.655,0.655,0.655,0.655,12500,No change,0
1424736000000,20150224,SMCAP,'9776,0.655,0.645,0.655,0.645,0.655,56800,Increased,2
1424822400000,20150225,SMCAP,'9776,0.655,0.650,0.650,0.645,0.645,132000,Decreased,1
1424908800000,20150226,SMCAP,'9776,0.645,0.645,0.645,0.645,0.645,12000,No change,0
1424995200000,20150227,SMCAP,'9776,0.645,0.645,0.650,0.645,0.650,104200,Increased,1
1425254400000,20150302,SMCAP,'9776,0.650,0.650,0.650,0.650,0.650,19000,No change,0
