Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,UZMA,'7250,,1.740,1.740,1.700,1.720,1427000,Decreased,2
1420502400000,20150106,UZMA,'7250,1.720,1.660,1.690,1.640,1.690,868200,Increased,3
1420588800000,20150107,UZMA,'7250,1.690,1.640,1.700,1.600,1.670,1758100,Increased,3
1420675200000,20150108,UZMA,'7250,1.670,1.660,1.750,1.660,1.750,947900,Increased,9
1420761600000,20150109,UZMA,'7250,1.750,1.750,1.750,1.690,1.700,657100,Decreased,5
1421020800000,20150112,UZMA,'7250,1.700,1.690,1.710,1.660,1.680,345300,Decreased,1
1421107200000,20150113,UZMA,'7250,1.680,1.670,1.700,1.650,1.700,656700,Increased,3
1421193600000,20150114,UZMA,'7250,1.700,1.690,1.710,1.650,1.680,465900,Decreased,1
1421280000000,20150115,UZMA,'7250,1.680,1.710,1.750,1.690,1.740,2345400,Increased,3
1421366400000,20150116,UZMA,'7250,1.740,1.720,1.750,1.710,1.730,717400,Increased,1
1421625600000,20150119,UZMA,'7250,1.730,1.780,1.880,1.780,1.860,3552200,Increased,8
1421712000000,20150120,UZMA,'7250,1.860,1.890,1.900,1.840,1.860,2189000,Decreased,3
1421798400000,20150121,UZMA,'7250,1.860,1.860,1.880,1.840,1.850,833300,Decreased,1
1421884800000,20150122,UZMA,'7250,1.850,1.890,2.000,1.870,1.990,4721400,Increased,10
1421971200000,20150123,UZMA,'7250,1.990,2.030,2.230,2.030,2.090,4152600,Increased,6
1422230400000,20150126,UZMA,'7250,2.090,2.100,2.100,1.980,2.060,1979500,Decreased,4
1422316800000,20150127,UZMA,'7250,2.060,2.030,2.090,1.980,2.000,1876900,Decreased,3
1422403200000,20150128,UZMA,'7250,2.000,2.000,2.060,2.000,2.000,1785500,No change,0
1422489600000,20150129,UZMA,'7250,2.000,2.000,2.000,1.870,1.910,1121800,Decreased,9
1422576000000,20150130,UZMA,'7250,1.910,1.970,1.970,1.920,1.940,479300,Decreased,3
1423008000000,20150204,UZMA,'7250,1.940,2.100,2.180,2.020,2.150,5279400,Increased,5
1423094400000,20150205,UZMA,'7250,2.150,2.160,2.180,2.050,2.100,5447000,Decreased,6
1423180800000,20150206,UZMA,'7250,2.100,2.150,2.160,2.090,2.120,6058500,Decreased,3
1423440000000,20150209,UZMA,'7250,2.120,2.130,2.140,2.110,2.110,613200,Decreased,2
1423526400000,20150210,UZMA,'7250,2.110,2.120,2.120,2.080,2.120,1284800,No change,0
1423612800000,20150211,UZMA,'7250,2.120,2.090,2.110,2.010,2.040,1149200,Decreased,5
1423699200000,20150212,UZMA,'7250,2.040,2.030,2.080,1.980,2.060,659700,Increased,3
1423785600000,20150213,UZMA,'7250,2.060,2.060,2.110,2.030,2.060,1349500,No change,0
1424044800000,20150216,UZMA,'7250,2.060,2.090,2.120,2.090,2.100,1388900,Increased,1
1424131200000,20150217,UZMA,'7250,2.100,2.100,2.280,2.090,2.260,1798900,Increased,16
1424217600000,20150218,UZMA,'7250,2.260,2.270,2.580,2.270,2.580,1950400,Increased,31
1424649600000,20150223,UZMA,'7250,2.580,2.580,2.620,2.410,2.610,1824100,Increased,3
1424736000000,20150224,UZMA,'7250,2.610,2.600,2.610,2.450,2.500,1565600,Decreased,10
1424822400000,20150225,UZMA,'7250,2.500,2.460,2.500,2.400,2.420,553000,Decreased,4
1424908800000,20150226,UZMA,'7250,2.420,2.470,2.600,2.440,2.460,3660000,Decreased,1
1424995200000,20150227,UZMA,'7250,2.460,2.460,2.470,2.370,2.380,1567800,Decreased,8
1425254400000,20150302,UZMA,'7250,2.380,2.420,2.420,2.230,2.240,2392200,Decreased,18
1425340800000,20150303,UZMA,'7250,2.240,2.280,2.280,2.230,2.270,1643100,Decreased,1
1425427200000,20150304,UZMA,'7250,2.270,2.250,2.260,2.200,2.200,1793500,Decreased,5
1425513600000,20150305,UZMA,'7250,2.200,2.200,2.260,2.130,2.260,1611900,Increased,6
1425600000000,20150306,UZMA,'7250,2.260,2.250,2.280,2.200,2.230,1512400,Decreased,2
1425859200000,20150309,UZMA,'7250,2.230,2.190,2.190,2.100,2.100,1978700,Decreased,9
1425945600000,20150310,UZMA,'7250,2.100,2.130,2.190,2.090,2.120,2293700,Decreased,1
1426032000000,20150311,UZMA,'7250,2.120,2.070,2.130,2.060,2.120,2130400,Increased,5
1426118400000,20150312,UZMA,'7250,2.120,2.110,2.150,2.090,2.110,896500,No change,0
1426204800000,20150313,UZMA,'7250,2.110,2.100,2.100,2.040,2.090,1080600,Decreased,1
1426464000000,20150316,UZMA,'7250,2.090,2.060,2.080,2.040,2.050,623200,Decreased,1
1426550400000,20150317,UZMA,'7250,2.050,2.060,2.120,2.060,2.070,489200,Increased,1
1426636800000,20150318,UZMA,'7250,2.070,2.050,2.060,2.010,2.030,307800,Decreased,2
1426723200000,20150319,UZMA,'7250,2.030,2.070,2.080,2.010,2.010,436500,Decreased,6
1426809600000,20150320,UZMA,'7250,2.010,2.040,2.040,1.930,1.960,1468000,Decreased,8
1427068800000,20150323,UZMA,'7250,1.960,1.990,2.000,1.970,1.990,643800,No change,0
1427155200000,20150324,UZMA,'7250,1.990,2.010,2.010,1.940,1.940,441200,Decreased,7
1427241600000,20150325,UZMA,'7250,1.940,1.940,2.020,1.940,1.990,1226700,Increased,5
1427328000000,20150326,UZMA,'7250,1.990,2.010,2.250,2.010,2.240,7029900,Increased,23
1427414400000,20150327,UZMA,'7250,2.240,2.250,2.250,2.160,2.200,4761600,Decreased,5
1427673600000,20150330,UZMA,'7250,2.200,2.170,2.170,2.110,2.130,169000,Decreased,4
1427760000000,20150331,UZMA,'7250,2.130,2.120,2.160,2.040,2.080,1936500,Decreased,4
1427846400000,20150401,UZMA,'7250,2.080,2.060,2.070,2.030,2.060,671800,No change,0
1427932800000,20150402,UZMA,'7250,2.060,2.090,2.120,2.060,2.060,995700,Decreased,3
1428019200000,20150403,UZMA,'7250,2.060,2.050,2.100,2.050,2.090,1222900,Increased,4
1428278400000,20150406,UZMA,'7250,2.090,2.090,2.190,2.050,2.130,1695500,Increased,4
