Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
0,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.020,+1.39,"15,602",200,1.440,1.460,776,1.44,1.440,1.460,1.440,s,22 Oct 2019,05:00PM,1.460,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
1,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-,-,-,"2,000",0.500,0.510,298,0.5,-,-,-,s,22 Oct 2019,05:00PM,-,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
2,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,0.005,+7.69,703,"3,550",0.065,0.070,547,0.065,0.070,0.070,0.070,s,22 Oct 2019,05:00PM,0.070,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
3,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-,-,-,48,0.505,0.530,50,0.53,-,-,-,s,22 Oct 2019,05:00PM,-,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
4,MAIN MARKET,PROPERTY,'7131,-,-,-,200,0.215,0.270,300,0.24,-,-,-,s,22 Oct 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
5,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-,-,"5,960",450,0.390,0.400,212,0.4,0.400,0.405,0.400,s,22 Oct 2019,05:00PM,0.400,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
6,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,0.005,+3.85,"7,640","1,400",0.130,0.135,"8,490",0.13,0.130,0.135,0.130,s,22 Oct 2019,05:00PM,0.135,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
7,MAIN MARKET,CONSTRUCTION,'5281,-0.005,-1.14,"24,783","2,117",0.435,0.440,"2,074",0.44,0.440,0.440,0.430,s,22 Oct 2019,05:00PM,0.435,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
8,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,-0.050,-2.27,80,100,2.120,2.150,8,2.2,2.130,2.150,2.130,s,22 Oct 2019,05:00PM,2.150,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
9,MAIN MARKET,HEALTH CARE,'7191,0.030,+5.45,100,50,0.550,0.580,62,0.55,0.540,0.580,0.540,s,22 Oct 2019,05:00PM,0.580,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
10,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,-,-,150,354,0.105,0.110,"1,243",0.11,0.105,0.110,0.105,s,22 Oct 2019,05:00PM,0.110,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
11,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.010,+0.62,"3,003",30,1.620,1.640,573,1.62,1.620,1.640,1.620,s,22 Oct 2019,05:00PM,1.630,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
12,MAIN MARKET,FINANCIAL SERVICES,'5139,-0.020,-0.13,404,39,15.680,15.940,5,15.96,15.840,16.000,15.280,s,22 Oct 2019,05:00PM,15.940,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
13,MAIN MARKET,FINANCIAL SERVICES,'5185,-0.010,-0.51,596,329,1.940,1.950,140,1.95,1.950,1.960,1.940,s,22 Oct 2019,05:00PM,1.940,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
14,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-0.015,-11.11,"18,516","4,143",0.120,0.125,"2,485",0.135,0.130,0.135,0.120,s,22 Oct 2019,05:00PM,0.120,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
15,MAIN MARKET,CONSTRUCTION,'7078,-0.005,-1.41,"8,284",101,0.350,0.360,59,0.355,0.355,0.360,0.350,s,22 Oct 2019,05:00PM,0.350,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
16,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,-0.050,-2.62,"82,217",392,1.850,1.860,"4,396",1.91,1.910,1.910,1.800,s,22 Oct 2019,05:00PM,1.860,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
17,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,-,-,"88,232","91,851",0.170,0.175,"15,147",0.17,0.175,0.180,0.170,s,22 Oct 2019,05:00PM,0.170,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238
18,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'2658,-,-,159,12,15.580,15.620,95,15.6,15.620,15.620,15.600,s,22 Oct 2019,05:00PM,15.600,AJINOMOTO (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658
19,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7609,0.010,+2.44,"1,466","1,675",0.420,0.425,227,0.41,0.415,0.420,0.415,s,22 Oct 2019,05:00PM,0.420,AJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7609
20,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5116,-,-,58,35,1.470,1.490,32,1.46,1.460,1.460,1.460,s,22 Oct 2019,05:00PM,1.460,AL-`AQAR HEALTHCARE REIT,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116
