PN17
APFT BERHAD
ASIA MEDIA GROUP BERHAD
BARAKAH OFFSHORE PETROLEUM BERHAD
BERJAYA MEDIA BERHAD
BERTAM ALLIANCE BERHAD
BRAHIM’S HOLDINGS BERHAD
CHINA AUTOMOBILE PARTS HOLDINGS LIMITED
COMINTEL CORPORATION BHD
DAYA MATERIALS BERHAD 
EKA NOODLES BERHAD
IRE-TEX CORPORATION BERHAD
KINSTEEL BHD
LOTUS KFM BERHAD (FORMERLY KNOWN AS KUANTAN FLOUR MILLS BERHAD)
LONDON BISCUITS BERHAD
MAA GROUP BERHAD
MALAYSIA PACIFIC CORPORATION BERHAD
MULTI SPORTS HOLDINGS LTD
PERISAI PETROLEUM TEKNOLOGI BERHAD
SEACERA GROUP BERHAD 
SUMATEC RESOURCES BERHAD
TH HEAVY ENGINEERING BERHAD
