Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.020,+1.41,830,"1,489",1.420,1.440,164,1.42,1.420,1.440,1.420,s,28 Nov 2019,05:00PM,1.440,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,MarketNoChange,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,0.000,0.00,0,250,0.525,0.535,80,0.525,-,-,-,s,28 Nov 2019,05:00PM,-,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,0.000,0.00,0,"3,579",0.065,0.075,"4,135",0.07,-,-,-,s,28 Nov 2019,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,MarketClosed,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-0.040,-8.08,320,162,0.450,0.480,50,0.495,0.465,0.465,0.455,s,28 Nov 2019,05:00PM,0.455,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,MarketGapDown,2.0000000000000018,
MAIN MARKET,PROPERTY,'7131,0.010,+4.26,242,30,0.220,0.240,40,0.235,0.220,0.245,0.220,s,28 Nov 2019,05:00PM,0.245,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,MarketGapDown,4.999999999999999,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,0.000,0.00,0,200,0.340,0.350,630,0.35,-,-,-,s,28 Nov 2019,05:00PM,-,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,0.000,0.00,"9,696","27,849",0.125,0.130,"13,046",0.13,0.125,0.130,0.125,s,28 Nov 2019,05:00PM,0.130,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSTRUCTION,'5281,0.005,+1.25,"6,889","2,145",0.395,0.410,450,0.4,0.400,0.405,0.395,s,28 Nov 2019,05:00PM,0.405,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,MarketNoChange,1.0000000000000009,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.050,+2.33,165,20,2.170,2.200,66,2.15,2.200,2.200,2.180,s,28 Nov 2019,05:00PM,2.200,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,MarketGapUp,0.0,
MAIN MARKET,HEALTH CARE,'7191,-0.035,-5.98,30,50,0.535,0.590,60,0.585,0.590,0.590,0.550,s,28 Nov 2019,05:00PM,0.550,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,MarketGapUp,7.999999999999985,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,-0.005,-5.26,500,"4,180",0.090,0.095,500,0.095,0.090,0.090,0.090,s,28 Nov 2019,05:00PM,0.090,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146,MarketGapDown,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.000,0.00,"11,969","3,380",1.590,1.600,"1,174",1.59,1.590,1.590,1.560,s,28 Nov 2019,05:00PM,1.590,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599,MarketNoChange,0.0,
MAIN MARKET,FINANCIAL SERVICES,'5139,-0.080,-0.53,217,1,14.900,15.000,129,14.98,14.900,15.000,14.840,s,28 Nov 2019,05:00PM,14.900,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139,MarketGapDown,0.0,
MAIN MARKET,FINANCIAL SERVICES,'5185,0.000,0.00,"1,128",198,1.970,1.990,194,1.98,1.980,1.980,1.970,s,28 Nov 2019,05:00PM,1.980,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185,MarketNoChange,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-0.010,-8.70,"6,732","4,201",0.105,0.110,"2,725",0.115,0.110,0.110,0.100,s,28 Nov 2019,05:00PM,0.105,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315,MarketGapDown,1.0000000000000009,
MAIN MARKET,CONSTRUCTION,'7078,-0.005,-1.33,"2,311","2,760",0.370,0.375,137,0.375,0.375,0.380,0.370,s,28 Nov 2019,05:00PM,0.370,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078,MarketNoChange,1.0000000000000009,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,-0.040,-2.29,"120,074",50,1.700,1.710,"1,287",1.75,1.710,1.720,1.670,s,28 Nov 2019,05:00PM,1.710,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099,MarketGapDown,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,0.005,+3.33,"22,330","146,426",0.150,0.155,"44,611",0.15,0.150,0.155,0.150,s,28 Nov 2019,05:00PM,0.155,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238,MarketNoChange,1.0000000000000009,
