Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-,-,"1,042","1,333",1.420,1.440,342,1.44,1.430,1.440,1.420,s,29 Nov 2019,05:00PM,1.440,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-,-,410,637,0.510,0.535,80,0.525,0.525,0.525,0.525,s,29 Nov 2019,05:00PM,0.525,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-,-,-,"13,579",0.065,0.075,"4,135",0.07,-,-,-,s,29 Nov 2019,05:00PM,-,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,0.025,+5.49,214,26,0.460,0.480,40,0.455,0.450,0.480,0.450,s,29 Nov 2019,05:00PM,0.480,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,0.015,+6.12,160,9,0.220,0.250,80,0.245,0.240,0.260,0.220,s,29 Nov 2019,05:00PM,0.260,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-,-,-,500,0.335,0.350,630,0.35,-,-,-,s,29 Nov 2019,05:00PM,-,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-0.005,-3.85,"4,809","23,749",0.125,0.130,"15,728",0.13,0.130,0.130,0.125,s,29 Nov 2019,05:00PM,0.125,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,-0.005,-1.23,"3,230","1,007",0.395,0.400,326,0.405,0.405,0.405,0.395,s,29 Nov 2019,05:00PM,0.400,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.040,+1.82,8,20,2.080,2.200,500,2.2,2.240,2.240,2.240,s,29 Nov 2019,05:00PM,2.240,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,0.030,+5.45,951,20,0.580,0.605,51,0.55,0.630,0.630,0.580,s,29 Nov 2019,05:00PM,0.580,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
