Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-08-30,'0198,GDB ,GDB HOLDINGS BERHAD,,0.31,0.315,0.310,0.310,"116,400",0,0.000 ,0.00%,,"912,600",0.220 - 0.415,2.00,6.45%,4.18,193.8M,7,1,1.72,0.305 / 0.310,23.22,41.73,,0.1,,"168,000 / 50,000",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-08-30,'0106,REXIT ,REXIT BERHAD,,0.6,0.605,0.605,0.605,"5,000",1,+0.005 ,+0.83%,increasing,"34,900",0.525 - 0.750,3.00,4.96%,4.16,114.5M,15,5,3.03,0.600 / 0.630,20.80,11.61,,0.1,,"41,300 / 20,000",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-08-30,'0005,UCREST ,UCREST BERHAD,,0.135,0.140,0.135,0.135,"440,100",0,0.000 ,0.00%,,"3,980,400",0.125 - 0.340,0.00,0.00%,1.69,62.6M,8,2,1.61,0.135 / 0.140,20.17,6.22,,0.1,,"1,872,300 / 1,320,200",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-08-30,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.27,0.275,0.265,0.275,"263,200",1,+0.005 ,+1.85%,increasing,"2,013,700",0.260 - 0.405,0.50,1.82%,3.01,137.5M,9,1,1.82,0.265 / 0.275,19.87,18.71,,0.1,,"151,000 / 54,900",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-08-30,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.11,1.130,1.120,1.120,"260,800",1,+0.010 ,+0.90%,increasing,"968,100",0.805 - 1.450,2.00,1.79%,6.59,624.5M,17,2,3.29,1.120 / 1.130,19.38,48.05,,0.3,,"67,900 / 50,600",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-08-30,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.17,0.175,0.165,0.170,"5,350,700",0,0.000 ,0.00%,,"37,161,700",0.150 - 0.275,0.00,0.00%,1.04,207.7M,16,5,5.67,0.165 / 0.170,34.67,3.10,,0.1,,"4,988,700 / 781,600",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-08-30,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.33,0.330,0.325,0.325,"92,000",1,-0.005 ,-1.52%,decreasing,"316,600",0.275 - 0.375,1.50,4.62%,3.32,96.8M,10,1,1.63,0.325 / 0.330,16.60,35.03,,0.3,,"169,600 / 100,700",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-08-30,'0201,NOVA ,NOVA WELLNESS GROUP BERHAD,,0.465,0.480,0.460,0.460,"857,300",1,-0.005 ,-1.08%,decreasing,"246,300",0.280 - 0.595,0.50,1.09%,3.65,146.2M,13,5,1.92,0.460 / 0.465,15.21,9.30,,3.5,,"66,200 / 62,800",https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-08-30,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.51,1.530,1.470,1.520,"1,447,800",1,+0.010 ,+0.66%,increasing,"1,747,000",0.905 - 1.730,0.00,0.00%,3.75,352.6M,41,6,6.20,1.520 / 1.530,15.30,25.59,,0.8,,"44,900 / 52,000",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-08-30,'0120,VIS ,VISDYNAMICS HOLDINGS BERHAD,,0.36,0.365,0.360,0.365,"132,100",1,+0.005 ,+1.39%,increasing,"930,100",0.305 - 0.795,1.02,2.79%,3.52,61.7M,10,2,1.52,0.360 / 0.365,14.67,19.13,,0.1,,"300 / 18,700",https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-08-30,'0208,GREATEC ,GREATECH TECHNOLOGY BERHAD,,1.13,1.150,1.130,1.150,"3,405,700",2,+0.020 ,+1.77%,increasing,"20,612,700",0.635 - 1.210,0.00,0.00%,7.46,719.9M,15,7,4.42,1.140 / 1.150,28.69,17.53,,0.2,,"993,700 / 335,900",https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
