Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-17,'0198,GDB HOLDINGS BERHAD,0.300,2403,"Construction, Ace Market",Ace Market,0.220-0.350,4.18,2.00,0.18,7.17,6.67,23.23,1.67,187.50,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-17,'0106,REXIT BERHAD,0.610,104,"Technology, Ace Market",Ace Market,0.530-0.725,4.16,3.00,0.20,14.66,4.92,20.80,3.05,115.49,https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-17,'0005,UCREST BERHAD,0.140,8759,"Technology, Ace Market",Ace Market,0.135-0.335,1.69,0.00,0.08,8.29,0.00,20.16,1.67,64.96,https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-17,'0197,WEGMANS HOLDINGS BERHAD,0.265,2641,"Consumer Products & Services, Ace Market",Ace Market,0.255-0.390,3.01,0.50,0.15,8.80,1.89,20.07,1.77,132.50,https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-17,'0127,JHM CONSOLIDATION BERHAD,1.150,1764,"Technology, Ace Market",Ace Market,0.820-1.380,6.59,2.00,0.34,17.46,1.74,19.38,3.38,641.24,https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-17,'0209,I-STONE GROUP BERHAD,0.190,358616,"Technology, Ace Market",Ace Market,0.160-0.245,1.04,0.00,0.03,18.30,0.00,17.31,6.33,232.08,https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-17,'0040,OPENSYS (M) BERHAD,0.340,3450,"Technology, Ace Market",Ace Market,0.275-0.370,3.32,1.50,0.20,10.23,4.41,16.61,1.70,101.28,https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-17,'0201,NOVA WELLNESS GROUP BERHAD,0.590,17258,"Health Care, Ace Market",Ace Market,0.290-0.565,3.65,0.50,0.24,16.16,0.85,15.22,2.46,187.47,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-17,'0200,REVENUE GROUP BERHAD,1.510,4122,"Technology, Ace Market",Ace Market,0.627-1.690,3.73,0.00,0.25,40.45,0.00,14.93,6.04,351.80,https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-17,'0120,VISDYNAMICS HOLDINGS BERHAD,0.385,9679,"Technology, Ace Market",Ace Market,0.310-0.775,3.52,1.02,0.24,10.92,2.65,14.69,1.60,65.13,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-09-17,'0208,GREATECH TECHNOLOGY BERHAD,1.520,29091,"Technology, Ace Market",Ace Market,0.940-1.490,7.46,0.00,0.26,20.37,0.00,14.35,5.85,951.52,https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
2019-09-17,'0126,MICROLINK SOLUTIONS BERHAD,0.590,0,"Technology, Ace Market",Ace Market,0.350-0.690,1.74,0.00,0.12,33.89,0.00,14.31,4.85,98.75,https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
2019-09-17,'0158,SCC HOLDINGS BERHAD,0.520,0,"Consumer Products & Services, Ace Market",Ace Market,0.470-0.560,4.30,3.40,0.31,12.10,6.54,13.90,1.68,73.40,https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
2019-09-17,'0010,IRIS CORPORATION BERHAD,0.145,67618,"Technology, Ace Market",Ace Market,0.130-0.185,1.31,0.00,0.10,11.04,0.00,13.81,1.52,430.11,https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
2019-09-17,'0018,LAMBO GROUP BERHAD,0.055,5701,"Technology, Ace Market",Ace Market,0.050-0.120,0.79,0.00,0.06,7.00,0.00,13.29,0.93,115.62,https://www.klsescreener.com/v2/stocks/view/0018/lambo-group-berhad
2019-09-17,'0162,WIDAD GROUP BERHAD,0.260,30739,"Construction, Ace Market",Ace Market,0.215-0.380,0.93,0.00,0.07,28.07,0.00,13.23,3.71,638.21,https://www.klsescreener.com/v2/stocks/view/0162/widad-group-berhad
2019-09-17,'0157,FOCUS POINT HOLDINGS BERHAD,0.390,8947,"Consumer Products & Services, Ace Market",Ace Market,0.120-0.480,4.59,1.88,0.26,8.49,4.82,13.07,1.11,85.80,https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
