Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-19,'0198,GDB ,GDB HOLDINGS BERHAD,,0.295,0.300,0.295,0.295,"166,000",0,0.000 ,0.00%,,"871,900",0.220 - 0.370,2.00,6.78%,4.18,184.4M,7,1,1.64,0.295 / 0.300,23.22,41.73,,0.2,,"148,300 / 62,500",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-19,'0106,REXIT ,REXIT BERHAD,,0.61,0.615,0.615,0.615,"2,400",1,+0.005 ,+0.82%,increasing,"17,500",0.525 - 0.750,3.00,4.88%,4.16,116.4M,15,5,3.08,0.615 / 0.640,20.80,11.61,,0.1,,"13,600 / 18,300",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-19,'0005,UCREST ,UCREST BERHAD,,0.14,0.135,0.125,0.130,"9,354,400",2,-0.010 ,-7.14%,decreasing,"3,880,100",0.125 - 0.340,0.00,0.00%,1.69,60.3M,8,2,1.55,0.130 / 0.135,20.17,6.22,,2.4,,"1,048,400 / 100,000",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-19,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.26,0.280,0.260,0.280,"778,400",4,+0.020 ,+7.69%,increasing,"1,745,200",0.255 - 0.405,0.50,1.79%,3.01,140.0M,9,1,1.85,0.280 / 0.285,19.87,18.71,,0.4,,"31,300 / 70,000",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-19,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.16,1.220,1.170,1.190,"1,615,500",3,+0.030 ,+2.59%,increasing,"843,200",0.805 - 1.450,2.00,1.68%,6.59,663.5M,18,2,3.50,1.190 / 1.200,19.38,48.05,,1.9,,"148,000 / 474,400",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-19,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.18,0.190,0.180,0.185,"18,664,300",1,+0.005 ,+2.78%,increasing,"31,927,200",0.150 - 0.275,0.00,0.00%,1.04,226.0M,18,6,6.17,0.185 / 0.190,34.67,3.10,,0.6,,"3,652,400 / 4,511,900",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-19,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.34,0.350,0.335,0.335,"246,700",1,-0.005 ,-1.47%,decreasing,"270,300",0.275 - 0.375,1.50,4.48%,3.32,99.8M,10,1,1.68,0.335 / 0.345,16.60,35.03,,0.9,,"355,700 / 114,400",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-19,'0201,NOVA ,NOVA WELLNESS GROUP BERHAD,,0.585,0.595,0.565,0.580,"880,600",1,-0.005 ,-0.85%,decreasing,"491,200",0.280 - 0.600,0.50,0.86%,3.65,184.3M,16,6,2.42,0.575 / 0.580,15.21,9.30,,1.8,,"8,000 / 115,600",https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-19,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.49,1.520,1.480,1.490,"729,900",0,0.000 ,0.00%,,"1,798,500",0.905 - 1.730,0.00,0.00%,3.73,347.1M,40,6,6.08,1.490 / 1.500,15.22,25.48,,0.4,,"122,600 / 38,700",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-19,'0120,VIS ,VISDYNAMICS HOLDINGS BERHAD,,0.38499999999999995,0.415,0.380,0.410,"4,651,800",5,+0.025 ,+6.49%,increasing,"896,500",0.305 - 0.795,1.02,2.49%,3.52,69.4M,12,2,1.71,0.405 / 0.410,14.67,19.13,,5.2,,"176,500 / 51,900",https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-09-19,'0208,GREATEC ,GREATECH TECHNOLOGY BERHAD,,1.5,1.590,1.510,1.540,"9,679,400",4,+0.040 ,+2.67%,increasing,"10,932,300",0.635 - 1.540,0.00,0.00%,7.46,964.0M,21,9,5.92,1.530 / 1.540,28.69,17.53,,0.9,,"308,500 / 400",https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
2019-09-19,'0126,MICROLN ,MICROLINK SOLUTIONS BERHAD,,0.59,0.590,0.590,0.590,-,0,0.000 ,0.00%,,"43,700",0.305 - 0.700,0.00,0.00%,1.74,98.7M,34,0,4.85,0.555 / 0.620,14.30,121.61,,0.0,,"4,000 / 4,000",https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
2019-09-19,'0158,SCC ,SCC HOLDINGS BERHAD,,0.51,0.520,0.515,0.520,"69,000",2,+0.010 ,+1.96%,increasing,"25,100",0.470 - 0.560,3.40,6.54%,4.30,73.4M,12,1,1.68,0.515 / 0.520,13.90,47.55,,2.7,,"16,000 / 3,000",https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
2019-09-19,'0010,IRIS ,IRIS CORPORATION BERHAD,,0.145,0.150,0.145,0.145,"2,711,100",0,0.000 ,0.00%,,"12,978,600",0.125 - 0.195,0.00,0.00%,1.31,430.1M,11,2,1.52,0.145 / 0.150,13.77,7.62,,0.2,,"22,859,300 / 6,992,400",https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
2019-09-19,'0018,LAMBO ,LAMBO GROUP BERHAD,,0.055,0.055,0.050,0.055,"255,000",0,0.000 ,0.00%,,"9,256,500",0.050 - 0.160,0.00,0.00%,0.79,115.6M,7,1,0.93,0.050 / 0.055,13.37,4.97,,0.0,,"9,745,800 / 732,100",https://www.klsescreener.com/v2/stocks/view/0018/lambo-group-berhad
2019-09-19,'0162,WIDAD ,WIDAD GROUP BERHAD,,0.26,0.265,0.255,0.265,"3,630,100",1,+0.005 ,+1.92%,increasing,"1,895,000",0.215 - 0.390,0.00,0.00%,0.93,650.5M,29,3,3.86,0.260 / 0.265,13.55,9.96,,1.9,,"1,717,000 / 489,400",https://www.klsescreener.com/v2/stocks/view/0162/widad-group-berhad
2019-09-19,'0157,FOCUSP ,FOCUS POINT HOLDINGS BERHAD,,0.38999999999999996,0.415,0.390,0.410,"980,000",4,+0.020 ,+5.13%,increasing,"711,000",0.160 - 0.650,1.88,4.59%,4.59,90.2M,9,0,1.55,0.405 / 0.410,17.38,85.45,,1.4,,"8,300 / 28,900",https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
2019-09-19,'0193,KAB ,KEJURUTERAAN ASASTERA BERHAD,,0.395,0.405,0.390,0.400,"2,392,700",1,+0.005 ,+1.27%,increasing,"2,290,400",0.185 - 0.400,1.00,2.50%,2.04,141.6M,20,1,2.50,0.400 / 0.405,12.75,37.51,,1.0,,"18,900 / 303,800",https://www.klsescreener.com/v2/stocks/view/0193/kejuruteraan-asastera-berhad
2019-09-19,'0039,GFM ,GFM SERVICES BERHAD,,0.345,0.355,0.345,0.350,"1,276,000",1,+0.005 ,+1.45%,increasing,"2,184,900",0.335 - 0.565,1.10,3.14%,2.67,164.8M,13,1,1.67,0.350 / 0.355,12.71,29.14,,0.6,,"100,800 / 602,700",https://www.klsescreener.com/v2/stocks/view/0039/gfm-services-berhad
