Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-12,'0198,GDB HOLDINGS BERHAD,0.300,1780,"Construction, Ace Market",Ace Market,0.220-0.350,4.18,2.00,0.18,7.17,6.67,23.23,1.67,187.50,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-12,'0106,REXIT BERHAD,0.600,0,"Technology, Ace Market",Ace Market,0.530-0.725,4.16,3.00,0.20,14.42,5.00,20.80,3.00,113.60,https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-12,'0005,UCREST BERHAD,0.140,15909,"Technology, Ace Market",Ace Market,0.135-0.335,1.69,0.00,0.08,8.29,0.00,20.16,1.67,64.96,https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-12,'0197,WEGMANS HOLDINGS BERHAD,0.265,1501,"Consumer Products & Services, Ace Market",Ace Market,0.255-0.390,3.01,0.50,0.15,8.80,1.89,20.07,1.77,132.50,https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-12,'0127,JHM CONSOLIDATION BERHAD,1.160,2779,"Technology, Ace Market",Ace Market,0.820-1.380,6.59,2.00,0.34,17.61,1.72,19.38,3.41,646.82,https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-12,'0209,I-STONE GROUP BERHAD,0.175,120535,"Technology, Ace Market",Ace Market,0.160-0.245,1.04,0.00,0.03,16.85,0.00,17.31,5.83,213.76,https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-12,'0040,OPENSYS (M) BERHAD,0.345,14772,"Technology, Ace Market",Ace Market,0.275-0.370,3.32,1.50,0.20,10.39,4.35,16.61,1.72,102.77,https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-12,'0201,NOVA WELLNESS GROUP BERHAD,0.555,5587,"Health Care, Ace Market",Ace Market,0.290-0.580,3.65,0.50,0.24,15.20,0.90,15.22,2.31,176.35,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-12,'0200,REVENUE GROUP BERHAD,1.520,2681,"Technology, Ace Market",Ace Market,0.627-1.690,3.73,0.00,0.25,40.72,0.00,14.93,6.08,354.13,https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-12,'0120,VISDYNAMICS HOLDINGS BERHAD,0.375,2025,"Technology, Ace Market",Ace Market,0.310-0.775,3.52,1.02,0.24,10.64,2.72,14.69,1.56,63.44,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
