Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420416000000,20150105,TIMECOM,'5031,,4.890,4.890,4.850,4.850,90000,Decreased,4
1420502400000,20150106,TIMECOM,'5031,4.850,4.750,4.840,4.740,4.750,315200,No change,0
1420588800000,20150107,TIMECOM,'5031,4.750,4.750,4.840,4.720,4.790,287600,Increased,4
1420675200000,20150108,TIMECOM,'5031,4.790,4.790,4.880,4.790,4.860,866800,Increased,7
1420761600000,20150109,TIMECOM,'5031,4.860,4.870,5.110,4.870,5.100,896800,Increased,23
1421020800000,20150112,TIMECOM,'5031,5.100,5.110,5.200,5.090,5.170,454600,Increased,6
1421107200000,20150113,TIMECOM,'5031,5.170,5.180,5.180,5.010,5.010,102500,Decreased,17
1421193600000,20150114,TIMECOM,'5031,5.010,4.990,5.090,4.990,5.050,434500,Increased,6
1421280000000,20150115,TIMECOM,'5031,5.050,5.050,5.070,5.030,5.050,133200,No change,0
1421366400000,20150116,TIMECOM,'5031,5.050,5.100,5.100,5.040,5.090,470200,Decreased,1
1421625600000,20150119,TIMECOM,'5031,5.090,5.000,5.080,5.000,5.030,43300,Increased,3
1421712000000,20150120,TIMECOM,'5031,5.030,5.030,5.040,5.000,5.020,336400,Decreased,1
1421798400000,20150121,TIMECOM,'5031,5.020,5.020,5.050,5.000,5.000,137600,Decreased,2
1421884800000,20150122,TIMECOM,'5031,5.000,5.010,5.120,5.000,5.090,870700,Increased,8
1421971200000,20150123,TIMECOM,'5031,5.090,5.110,5.450,5.110,5.400,1744100,Increased,29
1422230400000,20150126,TIMECOM,'5031,5.400,5.300,5.530,5.300,5.450,420400,Increased,15
1422316800000,20150127,TIMECOM,'5031,5.450,5.450,5.530,5.300,5.480,513500,Increased,3
1422403200000,20150128,TIMECOM,'5031,5.480,5.480,5.490,5.410,5.450,1233100,Decreased,3
1422489600000,20150129,TIMECOM,'5031,5.450,5.300,5.460,5.300,5.450,979900,Increased,15
1422576000000,20150130,TIMECOM,'5031,5.450,5.450,5.450,5.400,5.400,74300,Decreased,5
1423008000000,20150204,TIMECOM,'5031,5.400,5.400,5.440,5.310,5.400,425900,No change,0
1423094400000,20150205,TIMECOM,'5031,5.400,5.320,5.500,5.320,5.490,126400,Increased,17
1423180800000,20150206,TIMECOM,'5031,5.490,5.480,5.520,5.480,5.520,269100,Increased,4
1423440000000,20150209,TIMECOM,'5031,5.520,5.520,5.690,5.520,5.580,491700,Increased,6
1423526400000,20150210,TIMECOM,'5031,5.580,5.600,5.750,5.590,5.700,1067000,Increased,10
1423612800000,20150211,TIMECOM,'5031,5.700,5.680,5.680,5.400,5.550,233400,Decreased,13
