name,full_name,symbol
Media Chinese Int,Media Chinese International Ltd,MDCH
AMMB,AMMB Holdings Bhd,AMMB
CIMB Group,CIMB Group Holdings Bhd,CIMB
RHB Bank,RHB Bank Bhd,RHBC
Hong Leong Financial,Hong Leong Financial Group Bhd,HLCB
Malayan Banking,Malayan Banking Bhd,MBBM
Malaysia Building,Malaysia Building Society Bhd,MBSS
Public Bank,Public Bank Bhd,PUBM
Berjaya Sports Toto,Berjaya Sports Toto Bhd,BSTB
DRB Hicom,DRB - Hicom Bhd,DRBM
Malaysian Resources,Malaysian Resources Corporation,MYRS
Bursa Malaysia,Bursa Malaysia Bhd,BMYS
IOI Corp,IOI Corporation Bhd,IOIB
TDM,TDM Bhd,TDMS
MMC Corp,MMC Corporation Bhd,MMCB
Genting Plantations,Genting Plantations Bhd,GENP
Kuala Lumpur Kepong,Kuala Lumpur Kepong Bhd,KLKK
Alliance Bank Malaysia,Alliance Financial Group Bhd,ALLI
Boustead,Boustead Holdings Bhd,BOUS
Carlsberg Brewery,Carlsberg Brewery Malaysia Bhd,CBMS
Dutch Lady Milk,Dutch Lady Milk Industries Bhd,DBMS
Hap Seng Consolidated,Hap Seng Consolidated Bhd,HAPS
Genting,Genting Bhd,GENT
IJM Corp,IJM Corporation Bhd,IJMS
Berjaya Corp,Berjaya Corporation Bhd,BGRO
Eastern & Oriental,Eastern & Oriental Bhd,ENOB
Lafarge Malayan Cement,Lafarge Malayan Cement Bhd,MALY
MISC,MISC Bhd,MISC
Magnum,Magnum Bhd,MAGM
Mulpha Int,Mulpha International Bhd,MITC
PPB,PPB Group Bhd,PEPT
BAT Malaysia,British American Tobacco Malaysia Bhd,BATO
Sime Darby,Sime Darby Bhd,SIME
Media Prima,Media Prima Bhd,MPRM
UMW,UMW Holdings Bhd,UMWS
YTL Corp,YTL Corporation Bhd,YTLS
Telekom Malaysia,Telekom Malaysia Bhd,TLMM
TIME Dotcom,TIME Dotcom Bhd,TCOM
TH Plantations,TH Plantations Bhd,THPB
Zhulian Corp,Zhulian Corporation Bhd,ZHCO
UEM Sunrise,UEM Sunrise Bhd,UMSB
TA Global,TA Global Bhd,TAGL
UOA Development,UOA Development Bhd,UOAD
Tenaga Nasional,Tenaga Nasional Bhd,TENA
Tropicana Corp,Tropicana Corporation Bhd,TROP
YTL Power Int,YTL Power International Bhd,YTLP
Top Glove Corp,Top Glove Corporation Bhd,TPGC
TSH Resources,TSH Resources Bhd,TSHR
WCT,WCT Holdings Bhd,WCTE
POS Malaysia & Srvcs,POS Malaysia&Services Holdings Bhd,PSHL
Genting Malaysia,Genting Malaysia Bhd,GENM
Ta Ann,Ta Ann Holdings Bhd,TAAN
Malaysia Airport,Malaysia Airport Holdings Bhd,MAHB
OSK,OSK Holdings Bhd,OSKH
Malaysian Bulk Carriers,Malaysian Bulk Carriers Bhd,MBCB
Mudajaya,Mudajaya Group Bhd,MJYA
Airasia,Airasia Bhd,AIRA
Rimbunan Sawit,Rimbunan Sawit Bhd,RIMB
Hap Seng Plantations,Hap Seng Plantations Holdings Bhd,HAPP
Aeon Credit Service,Aeon Credit Service Bhd,ANCR
Dayang Enterprise,Dayang Enterprise Holdings Bhd,DEHB
