Date(int),Date,Name,Stock ID,LACP,Open,High,Low,Close,Volume,Direction,Bid Size
1420502400000,20150106,RVIEW,'2542,,3.600,3.600,3.600,3.600,-,Closed,0
1420588800000,20150107,RVIEW,'2542,3.600,3.600,3.600,3.600,3.600,2000,No change,0
1420675200000,20150108,RVIEW,'2542,3.600,3.620,3.620,3.620,3.620,1000,No change,0
1420761600000,20150109,RVIEW,'2542,3.620,3.680,3.680,3.680,3.680,2000,No change,0
1421020800000,20150112,RVIEW,'2542,3.680,3.680,3.680,3.680,3.680,-,Closed,0
1421107200000,20150113,RVIEW,'2542,3.680,3.600,3.600,3.600,3.600,10000,No change,0
1421193600000,20150114,RVIEW,'2542,3.600,3.800,3.800,3.750,3.750,2000,Decreased,5
1421280000000,20150115,RVIEW,'2542,3.750,3.750,3.750,3.750,3.750,-,Closed,0
1421366400000,20150116,RVIEW,'2542,3.750,3.750,3.750,3.750,3.750,-,Closed,0
1421625600000,20150119,RVIEW,'2542,3.750,3.750,3.750,3.750,3.750,-,Closed,0
1421712000000,20150120,RVIEW,'2542,3.750,3.750,3.750,3.750,3.750,-,Closed,0
1421798400000,20150121,RVIEW,'2542,3.750,3.750,3.750,3.750,3.750,2000,No change,0
1421884800000,20150122,RVIEW,'2542,3.750,3.750,3.750,3.750,3.750,-,Closed,0
1421971200000,20150123,RVIEW,'2542,3.750,3.850,3.850,3.850,3.850,3000,No change,0
1422230400000,20150126,RVIEW,'2542,3.850,4.000,4.000,3.900,3.900,11000,Decreased,10
1422316800000,20150127,RVIEW,'2542,3.900,3.900,4.100,3.900,4.000,124300,Increased,10
1422403200000,20150128,RVIEW,'2542,4.000,4.000,4.000,4.000,4.000,-,Closed,0
1422489600000,20150129,RVIEW,'2542,4.000,4.050,4.050,3.950,4.050,81000,No change,0
1422576000000,20150130,RVIEW,'2542,4.050,4.050,4.050,4.050,4.050,1000,No change,0
1423008000000,20150204,RVIEW,'2542,4.050,4.050,4.050,4.050,4.050,-,Closed,0
1423094400000,20150205,RVIEW,'2542,4.050,3.900,3.900,3.900,3.900,1000,No change,0
1423180800000,20150206,RVIEW,'2542,3.900,4.000,4.000,4.000,4.000,1000,No change,0
1423440000000,20150209,RVIEW,'2542,4.000,4.000,4.000,4.000,4.000,-,Closed,0
1423526400000,20150210,RVIEW,'2542,4.000,4.000,4.000,4.000,4.000,-,Closed,0
1423612800000,20150211,RVIEW,'2542,4.000,4.010,4.020,4.010,4.010,6000,No change,0
1423699200000,20150212,RVIEW,'2542,4.010,4.010,4.010,4.010,4.010,-,Closed,0
1423785600000,20150213,RVIEW,'2542,4.010,3.900,3.900,3.900,3.900,1700,No change,0
1424044800000,20150216,RVIEW,'2542,3.900,3.910,3.910,3.910,3.910,3000,No change,0
1424131200000,20150217,RVIEW,'2542,3.910,4.010,4.010,4.000,4.000,5000,Decreased,1
1424217600000,20150218,RVIEW,'2542,4.000,4.010,4.010,4.010,4.010,4000,No change,0
1424649600000,20150223,RVIEW,'2542,4.010,4.010,4.010,4.010,4.010,-,Closed,0
1424736000000,20150224,RVIEW,'2542,4.010,4.010,4.010,4.010,4.010,-,Closed,0
1424822400000,20150225,RVIEW,'2542,4.010,4.010,4.010,4.010,4.010,-,Closed,0
