Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
0,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-0.02,-1.37,"10,461",603,1.43,1.44,"3,236",1.46,1.45,1.45,1.43,s,21-Oct-19,05:00PM,1.44,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
1,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-,-,396,351,0.5,0.51,298,0.5,0.505,0.505,0.5,s,21-Oct-19,05:00PM,0.5,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
2,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-0.005,-7.14,718,"1,853",0.065,0.07,950,0.07,0.07,0.07,0.065,s,21-Oct-19,05:00PM,0.065,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
3,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-,-,-,100,0.49,0.545,"1,000",0.53,-,-,-,s,21-Oct-19,05:00PM,-,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
4,MAIN MARKET,PROPERTY,'7131,-,-,-,281,0.21,0.28,70,0.24,-,-,-,s,21-Oct-19,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
5,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,0.005,1.27,"4,506",4,0.395,0.4,24,0.395,0.4,0.4,0.395,s,21-Oct-19,05:00PM,0.4,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
6,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,"1,255",20,0.13,0.135,"18,245",0.13,0.13,0.13,0.125,s,21-Oct-19,05:00PM,0.13,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
7,MAIN MARKET,CONSTRUCTION,'5281,-0.005,-1.12,"9,180","4,473",0.44,0.445,"5,837",0.445,0.445,0.445,0.44,s,21-Oct-19,05:00PM,0.44,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
8,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.07,3.29,"1,638",396,2.12,2.2,20,2.13,2.12,2.2,2.11,s,21-Oct-19,05:00PM,2.2,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
9,MAIN MARKET,HEALTH CARE,'7191,0.03,5.77,272,150,0.51,0.58,430,0.52,0.52,0.55,0.52,s,21-Oct-19,05:00PM,0.55,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
10,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,-,-,-,"1,080",0.1,0.11,"1,147",0.11,-,-,-,s,21-Oct-19,05:00PM,-,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
11,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.01,0.62,"3,995",133,1.62,1.64,366,1.61,1.61,1.63,1.61,s,21-Oct-19,05:00PM,1.62,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
12,MAIN MARKET,FINANCIAL SERVICES,'5139,-0.44,-2.68,315,2,15.92,15.96,2,16.4,15.76,16.4,15.76,s,21-Oct-19,05:00PM,15.96,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
13,MAIN MARKET,FINANCIAL SERVICES,'5185,-,-,"2,021",9,1.95,1.96,40,1.95,1.95,1.96,1.94,s,21-Oct-19,05:00PM,1.95,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
14,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,0.01,8,"27,787",150,0.13,0.135,"4,705",0.125,0.13,0.14,0.13,s,21-Oct-19,05:00PM,0.135,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
15,MAIN MARKET,CONSTRUCTION,'7078,-0.005,-1.39,"3,047","1,712",0.35,0.355,41,0.36,0.36,0.36,0.355,s,21-Oct-19,05:00PM,0.355,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
16,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,-,-,"48,477",276,1.9,1.91,"3,449",1.91,1.91,1.93,1.89,s,21-Oct-19,05:00PM,1.91,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
17,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,0.01,6.25,"175,290","72,667",0.17,0.175,"7,735",0.16,0.16,0.18,0.16,s,21-Oct-19,05:00PM,0.17,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238
18,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'2658,-0.1,-0.64,176,250,15.6,15.7,111,15.7,15.7,15.8,15.6,s,21-Oct-19,05:00PM,15.6,AJINOMOTO (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658
19,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7609,0.005,1.23,"1,517",313,0.41,0.415,500,0.405,0.405,0.42,0.405,s,21-Oct-19,05:00PM,0.41,AJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7609
20,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5116,-,-,236,250,1.47,1.5,14,1.46,1.46,1.47,1.46,s,21-Oct-19,05:00PM,1.46,AL-`AQAR HEALTHCARE REIT,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5116
21,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS,'5269,-,-,760,2,0.865,0.885,35,0.865,0.865,0.865,0.865,s,21-Oct-19,05:00PM,0.865,AL-SALAM REAL ESTATE INVESTMENT TRUST,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5269
22,MAIN MARKET,ENERGY,'5115,-,-,"21,715","42,232",0.09,0.095,"45,099",0.09,0.09,0.095,0.09,s,21-Oct-19,05:00PM,0.09,ALAM MARITIM RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5115
23,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2674,-,-,-,200,0.435,0.46,30,0.445,-,-,-,s,21-Oct-19,05:00PM,-,ALCOM GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2674
24,MAIN MARKET,FINANCIAL SERVICES,'2488,-0.08,-2.72,"13,937",831,2.85,2.86,562,2.94,2.9,2.94,2.86,s,21-Oct-19,05:00PM,2.86,ALLIANCE BANK MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2488
25,MAIN MARKET,FINANCIAL SERVICES,'1163,0.2,1.45,90,2,13.82,13.9,100,13.8,14,14.08,13.8,s,21-Oct-19,05:00PM,14,ALLIANZ MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1163
26,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'2682,-,-,-,202,0.225,0.25,149,0.25,-,-,-,s,21-Oct-19,05:00PM,-,AMALGAMATED INDUSTRIAL STEEL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2682
