Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL,MarketStatus,TickSize,TickSizeRemark
0,1.430,188,-0.020,-1.37,1.440,'5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,23 Oct 2019,1.450,1.46,1.430,MAIN MARKET,1.440,s,CONSUMER PRODUCTS & SERVICES,1.440,"1,619",05:00PM,"15,822",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,MarketGapDown,0.0,
1,0.500,20,0.000,0.00,0.500,'7214,A-RANK BERHAD,23 Oct 2019,0.500,0.5,0.500,MAIN MARKET,0.500,s,INDUSTRIAL PRODUCTS & SERVICES,0.510,368,05:00PM,240,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,MarketNoChange,0.0,
2,0.070,3,0.000,0.00,0.070,'7086,ABLEGROUP BERHAD,23 Oct 2019,0.075,0.07,0.070,MAIN MARKET,0.070,s,INDUSTRIAL PRODUCTS & SERVICES,0.075,"2,744",05:00PM,"1,107",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,MarketNoChange,0.0,
3,0.505,48,0.000,0.00,-,'5198,ABM FUJIYA BERHAD,23 Oct 2019,-,0.53,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.530,50,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,MarketClosed,0.0,
4,0.250,20,0.000,0.00,-,'7131,ACME HOLDINGS BERHAD,23 Oct 2019,-,0.24,-,MAIN MARKET,-,s,PROPERTY,0.270,451,05:00PM,0,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,MarketClosed,0.0,
5,0.385,88,-0.015,-3.75,0.385,'7120,ACOUSTECH BERHAD,23 Oct 2019,0.390,0.4,0.385,MAIN MARKET,0.390,s,CONSUMER PRODUCTS & SERVICES,0.390,"1,900",05:00PM,"1,362",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,MarketGapDown,1.0000000000000009,
6,0.130,274,-0.005,-3.70,0.130,'1481,ADVANCE SYNERGY BERHAD,23 Oct 2019,0.130,0.135,0.125,MAIN MARKET,0.130,s,CONSUMER PRODUCTS & SERVICES,0.135,"13,399",05:00PM,"1,840",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,MarketGapDown,0.0,
7,0.430,1,-0.005,-1.15,0.430,'5281,ADVANCECON HOLDINGS BERHAD,23 Oct 2019,0.435,0.435,0.430,MAIN MARKET,0.435,s,CONSTRUCTION,0.435,"1,469",05:00PM,"12,700",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,MarketNoChange,1.0000000000000009,
8,2.160,10,0.050,+2.33,2.200,'9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD,23 Oct 2019,2.200,2.15,2.160,MAIN MARKET,2.160,s,INDUSTRIAL PRODUCTS & SERVICES,2.200,10,05:00PM,60,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,MarketGapUp,4.0000000000000036,
9,0.550,30,-0.010,-1.72,0.570,'7191,ADVENTA BERHAD,23 Oct 2019,0.575,0.58,0.570,MAIN MARKET,0.575,s,HEALTH CARE,0.570,30,05:00PM,30,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,MarketGapDown,1.0000000000000009,
