Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL
0,1.430,860,0.020,+1.41,1.440,'5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,25 Oct 2019,1.450,1.42,1.400,MAIN MARKET,1.410,s,CONSUMER PRODUCTS & SERVICES,1.440,"1,451",05:00PM,"10,635",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
1,0.495,238,-,-,0.495,'7214,A-RANK BERHAD,25 Oct 2019,0.495,0.495,0.495,MAIN MARKET,0.495,s,INDUSTRIAL PRODUCTS & SERVICES,0.505,175,05:00PM,62,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
2,0.065,"2,300",-,-,-,'7086,ABLEGROUP BERHAD,25 Oct 2019,-,0.07,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.070,100,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
3,0.495,51,-,-,0.520,'5198,ABM FUJIYA BERHAD,25 Oct 2019,0.520,0.52,0.515,MAIN MARKET,0.515,s,INDUSTRIAL PRODUCTS & SERVICES,0.520,430,05:00PM,"1,820",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
4,0.210,211,-,-,-,'7131,ACME HOLDINGS BERHAD,25 Oct 2019,-,0.24,-,MAIN MARKET,-,s,PROPERTY,0.270,461,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
5,0.380,300,-0.005,-1.30,0.380,'7120,ACOUSTECH BERHAD,25 Oct 2019,0.380,0.385,0.380,MAIN MARKET,0.380,s,CONSUMER PRODUCTS & SERVICES,0.390,"1,670",05:00PM,50,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
6,0.130,401,-,-,0.130,'1481,ADVANCE SYNERGY BERHAD,25 Oct 2019,0.130,0.13,0.125,MAIN MARKET,0.125,s,CONSUMER PRODUCTS & SERVICES,0.135,"14,463",05:00PM,727,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
7,0.415,"1,019",-,-,0.415,'5281,ADVANCECON HOLDINGS BERHAD,25 Oct 2019,0.430,0.415,0.415,MAIN MARKET,0.415,s,CONSTRUCTION,0.420,"2,145",05:00PM,"7,862",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
8,2.140,15,-0.060,-2.73,2.140,'9148,ADVANCED PACKAGING TECHNOLOGY (M) BHD,25 Oct 2019,2.200,2.2,2.140,MAIN MARKET,2.200,s,INDUSTRIAL PRODUCTS & SERVICES,2.200,50,05:00PM,105,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
9,0.550,50,0.050,+9.43,0.580,'7191,ADVENTA BERHAD,25 Oct 2019,0.580,0.53,0.530,MAIN MARKET,0.530,s,HEALTH CARE,0.580,52,05:00PM,100,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
