Market,Sector,Company,Code,LACP,Open,High,Low,Close,Volume,MarketStatus,Change,TickSize,TickSizeRemark,Remark,BursaURL
MAIN MARKET,FINANCIAL SERVICES,ALLIANCE BANK MALAYSIA BERHAD,'2488,2.73,2.73,2.900,2.720,2.88,88800,MarketNoChange,0.15,14.999999999999993,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2488
MAIN MARKET,FINANCIAL SERVICES,CIMB GROUP HOLDINGS BERHAD,'1023,5.09,5.08,5.320,5.080,5.25,288678,MarketGapDown,0.16,16.999999999999993,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1023
MAIN MARKET,CONSTRUCTION,GAMUDA BERHAD,'5398,3.63,3.62,3.740,3.590,3.74,52712,MarketGapDown,0.11,12.000000000000009,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5398
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,GENTING BERHAD,'3182,5.68,5.7,5.850,5.670,5.81,67287,MarketGapUp,0.13,10.999999999999943,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3182
MAIN MARKET,FINANCIAL SERVICES,MALAYAN BANKING BERHAD,'1155,8.47,8.52,8.620,8.490,8.6,212489,MarketGapUp,0.13,8.000000000000009,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1155
MAIN MARKET,PROPERTY,NAIM HOLDINGS BERHAD,'5073,0.95,0.96,1.020,0.955,1.01,144813,MarketGapUp,0.06,9.000000000000009,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5073
MAIN MARKET,FINANCIAL SERVICES,PUBLIC BANK BERHAD,'1295,19.4,19.4,20.440,19.400,20.3,96900,MarketNoChange,0.9,45.00000000000011,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1295
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,ROHAS TECNIC BERHAD,'9741,0.56,0.56,0.630,0.560,0.625,254684,MarketNoChange,0.065,12.999999999999991,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9741
MAIN MARKET,PLANTATION,SIME DARBY PLANTATION BERHAD,'5285,4.82,4.76,4.940,4.760,4.91,41788,MarketGapDown,0.09,15.000000000000036,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5285
MAIN MARKET,TECHNOLOGY,UWC BERHAD,'5292,1.99,2.01,2.180,2.010,2.18,65828,MarketGapUp,0.19,17.000000000000036,,s,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5292
ACE MARKET,TECHNOLOGY,KRONOLOGI ASIA BERHAD,'0176,0.68,0.715,0.760,0.715,0.755,448796,MarketGapUp,0.075,8.000000000000009,,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0176
