Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,-0.020,-1.38,"7,760","7,368",1.420,1.440,"1,800",1.45,1.430,1.440,1.430,s,07 Nov 2019,05:00PM,1.430,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,-0.010,-1.96,"1,560",604,0.500,0.505,10,0.51,0.520,0.520,0.495,s,07 Nov 2019,05:00PM,0.500,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,-,-,"1,400",8,0.070,0.075,"3,194",0.07,0.070,0.070,0.070,s,07 Nov 2019,05:00PM,0.070,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,-0.035,-6.73,100,49,0.485,0.515,50,0.52,0.485,0.485,0.485,s,07 Nov 2019,05:00PM,0.485,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198
MAIN MARKET,PROPERTY,'7131,-,-,-,25,0.235,0.260,260,0.26,-,-,-,s,07 Nov 2019,05:00PM,-,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-,-,"8,430",20,0.375,0.380,"3,805",0.375,0.380,0.380,0.375,s,07 Nov 2019,05:00PM,0.375,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-,-,959,"41,586",0.125,0.130,"7,633",0.13,0.130,0.130,0.125,s,07 Nov 2019,05:00PM,0.130,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481
MAIN MARKET,CONSTRUCTION,'5281,-0.010,-2.30,"2,410",216,0.425,0.430,"1,235",0.435,0.430,0.435,0.425,s,07 Nov 2019,05:00PM,0.425,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,-,-,60,40,1.990,2.000,48,2.0,2.000,2.000,2.000,s,07 Nov 2019,05:00PM,2.000,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148
MAIN MARKET,HEALTH CARE,'7191,-,-,"1,641",200,0.585,0.610,100,0.6,0.640,0.640,0.600,s,07 Nov 2019,05:00PM,0.600,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,-,-,"1,760",493,0.105,0.110,75,0.11,0.110,0.110,0.110,s,07 Nov 2019,05:00PM,0.110,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.020,+1.25,"1,499","6,771",1.600,1.620,238,1.6,1.610,1.620,1.590,s,07 Nov 2019,05:00PM,1.620,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599
MAIN MARKET,FINANCIAL SERVICES,'5139,-0.040,-0.26,"2,235",13,15.180,15.200,141,15.24,15.200,15.440,15.160,s,07 Nov 2019,05:00PM,15.200,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139
MAIN MARKET,FINANCIAL SERVICES,'5185,0.010,+0.52,"2,140",20,1.940,1.950,"1,572",1.94,1.940,1.950,1.930,s,07 Nov 2019,05:00PM,1.950,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7315,-,-,"34,464",377,0.125,0.130,"4,049",0.125,0.125,0.125,0.120,s,07 Nov 2019,05:00PM,0.125,AHB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7315
MAIN MARKET,CONSTRUCTION,'7078,0.005,+1.30,"6,611",961,0.385,0.390,406,0.385,0.385,0.395,0.385,s,07 Nov 2019,05:00PM,0.390,AHMAD ZAKI RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7078
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5099,0.030,+1.59,"98,591","5,840",1.910,1.920,"10,399",1.89,1.910,1.940,1.900,s,07 Nov 2019,05:00PM,1.920,AIRASIA GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5099
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5238,-,-,"95,428","67,916",0.165,0.170,"36,158",0.165,0.170,0.170,0.165,s,07 Nov 2019,05:00PM,0.165,AIRASIA X BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5238
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'2658,-0.060,-0.38,73,2,15.820,15.860,87,15.9,15.900,15.900,15.820,s,07 Nov 2019,05:00PM,15.840,AJINOMOTO (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2658
