Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5250,0.020,+1.41,"9,233",350,1.430,1.440,"1,000",1.42,1.420,1.450,1.420,s,12 Nov 2019,05:00PM,1.440,7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,MarketNoChange,2.0000000000000018,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7214,0.005,+0.98,763,200,0.510,0.515,683,0.51,0.515,0.515,0.510,s,12 Nov 2019,05:00PM,0.515,A-RANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,MarketGapUp,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7086,0.000,0.00,70,180,0.070,0.075,"3,244",0.07,0.065,0.070,0.065,s,12 Nov 2019,05:00PM,0.070,ABLEGROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5198,0.000,0.00,0,2,0.475,0.510,70,0.515,-,-,-,s,12 Nov 2019,05:00PM,-,ABM FUJIYA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,MarketClosed,0.0,
MAIN MARKET,PROPERTY,'7131,-0.020,-8.33,295,198,0.220,0.260,259,0.24,0.235,0.235,0.220,s,12 Nov 2019,05:00PM,0.220,ACME HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,MarketGapDown,2.999999999999997,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7120,-0.015,-3.90,"6,031",9,0.370,0.385,"1,275",0.385,0.380,0.390,0.370,s,12 Nov 2019,05:00PM,0.370,ACOUSTECH BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,MarketGapDown,2.0000000000000018,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1481,-0.005,-3.85,260,"40,081",0.125,0.130,"8,451",0.13,0.125,0.125,0.125,s,12 Nov 2019,05:00PM,0.125,ADVANCE SYNERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,MarketGapDown,0.0,
MAIN MARKET,CONSTRUCTION,'5281,-0.010,-2.41,"12,459","3,139",0.400,0.405,26,0.415,0.410,0.415,0.400,s,12 Nov 2019,05:00PM,0.405,ADVANCECON HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,MarketGapDown,0.9999999999999898,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9148,0.000,0.00,0,200,2.060,2.160,220,2.09,-,-,-,s,12 Nov 2019,05:00PM,-,ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,MarketClosed,0.0,
MAIN MARKET,HEALTH CARE,'7191,-0.010,-1.64,50,50,0.550,0.600,165,0.61,0.600,0.600,0.600,s,12 Nov 2019,05:00PM,0.600,ADVENTA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,MarketGapDown,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7146,0.000,0.00,0,500,0.105,0.115,"1,680",0.11,-,-,-,s,12 Nov 2019,05:00PM,-,AE MULTI HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'6599,0.010,+0.63,"2,319",987,1.610,1.620,201,1.6,1.620,1.620,1.600,s,12 Nov 2019,05:00PM,1.610,AEON CO. (M) BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599,MarketGapUp,1.0000000000000009,
MAIN MARKET,FINANCIAL SERVICES,'5139,-0.020,-0.13,"1,100",18,15.140,15.180,11,15.2,15.360,15.360,15.140,s,12 Nov 2019,05:00PM,15.180,AEON CREDIT SERVICE (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139,MarketGapUp,8.999999999999986,
MAIN MARKET,FINANCIAL SERVICES,'5185,-0.020,-1.00,404,45,1.980,1.990,228,2.0,1.980,2.000,1.980,s,12 Nov 2019,05:00PM,1.980,AFFIN BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5185,MarketGapDown,0.0,
