Number,Name,Close,Open,Change,ChangePercentage,High,Low
1,FBMKLCI,"1,597.22",1610.88,-12.51,-0.78,"1,610.88","1,593.91"
2,FBMT100,"11,146.27",11221.07,-67.35,-0.60,"11,221.07","11,120.45"
3,FBM70,"14,134.69",14145.09,-3.26,-0.02,"14,145.09","14,069.69"
4,FBMSCAP,"13,605.36",13706.10,-86.93,-0.63,"13,708.08","13,555.60"
5,FBMEMAS,"11,332.35",11396.41,-68.65,-0.60,"11,398.38","11,305.97"
6,FBMFLG,"14,641.90",14675.74,-26.99,-0.18,"14,687.82","14,560.75"
7,FA40,"10,891.71",10956.93,-87.92,-0.80,"10,964.24","10,871.87"
8,FBMSHA,"11,880.88",11938.20,-58.87,-0.49,"11,939.59","11,847.40"
9,FBMHIJRAH,"13,147.35",13225.99,-73.93,-0.56,"13,225.99","13,104.90"
10,FBMACE,"4,856.21",4912.34,-27.29,-0.56,"4,919.40","4,833.71"
11,FBMAPMYR,"17,445.03",17461.10,-13.51,-0.08,"17,550.98","17,350.41"
12,FBMAPUSD,"12,089.47",12106.44,-44.45,-0.37,"12,165.83","12,026.80"
13,FBMPALMOIL,"12,401.14",12693.72,-305.69,-2.41,"12,729.80","12,350.07"
14,F4GBM,892.60,898.48,-5.09,-0.57,898.48,890.33
15,TECHNOLOGY,36.92,37.08,-0.16,-0.43,37.13,36.66
16,PLANTATION,"6,922.23",6967.65,-46.46,-0.67,"6,968.16","6,904.94"
17,CONSTRUCTION,205.79,207.23,-1.63,-0.79,207.23,205.16
18,CONSUMER PRODUC,657.56,659.06,-1.49,-0.23,659.06,655.91
19,ENERGY,"1,224.96",1232.87,-5.01,-0.41,"1,234.31","1,219.21"
20,FINANCIAL SERVI,"15,599.94",15716.77,-101.97,-0.65,"15,716.77","15,581.72"
21,HEALTH CARE,"1,248.82",1250.91,-0.83,-0.07,"1,252.84","1,244.26"
22,INDUSTRIAL PROD,152.81,156.45,-3.57,-2.28,156.45,152.19
23,PROPERTY,785.27,783.74,+3.62,+0.46,785.51,777.21
24,REIT,976.98,977.64,-1.13,-0.12,978.55,974.69
25,TELECOMMUNICATI,671.21,677.11,-5.10,-0.75,677.11,667.65
26,TRANSPORTATION ,766.78,763.63,+4.44,+0.58,767.08,760.44
27,UTILITIES,981.70,980.36,+1.35,+0.14,982.50,976.04
28,FBMMSCAP,"14,838.61",14931.79,-71.91,-0.48,"14,931.79","14,777.38"
29,FBMMSCS,"14,041.29",14135.83,-72.10,-0.51,"14,135.83","13,986.43"
