BoardType,Name,Code,BursaURL,Page
main_market,7-ELEVEN MALAYSIA HOLDINGS BERHAD,'5250,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5250,http://www.7eleven.com.my
main_market,A-RANK BERHAD,'7214,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7214,http://www.arank.com.my
main_market,ABLEGROUP BERHAD,'7086,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7086,http://www.ablegroup.com.my/
main_market,ABM FUJIYA BERHAD,'5198,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5198,http://www.abmfujiya.com.my
main_market,ACME HOLDINGS BERHAD,'7131,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7131,https://www.acmeholdings.com.my
main_market,ACOUSTECH BERHAD,'7120,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7120,http://www.acoustech.com.my/
main_market,ADVANCE SYNERGY BERHAD,'1481,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1481,http://www.asb.com.my
main_market,ADVANCECON HOLDINGS BERHAD,'5281,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5281,http://www.advancecon.com.my/
main_market,ADVANCED PACKAGING TECHNOLOGY (M) BHD,'9148,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9148,http://www.advancedpack.com.my
main_market,ADVENTA BERHAD,'7191,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7191,http://www.adventa.com.my
main_market,AE MULTI HOLDINGS BERHAD,'7146,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7146,http://www.amallionpcb.com
main_market,AEON CO. (M) BHD,'6599,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6599,http://www.aeonretail.com.my
main_market,AEON CREDIT SERVICE (M) BERHAD,'5139,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5139,https://www.aeoncredit.com.my/
