,Date,Status,Day
0,19940103,Open,Monday
1,19940104,Open,Tuesday
2,19940105,Open,Wednesday
3,19940106,Open,Thursday
4,19940107,Open,Friday
5,19940110,Open,Monday
6,19940111,Open,Tuesday
7,19940112,Open,Wednesday
8,19940113,Open,Thursday
9,19940114,Open,Friday
10,19940117,Open,Monday
11,19940118,Open,Tuesday
12,19940119,Open,Wednesday
13,19940120,Open,Thursday
14,19940121,Open,Friday
15,19940124,Open,Monday
16,19940125,Open,Tuesday
17,19940126,Open,Wednesday
18,19940127,Open,Thursday
19,19940128,Open,Friday
20,19940131,Open,Monday
21,19940202,Open,Wednesday
22,19940203,Open,Thursday
23,19940204,Open,Friday
24,19940207,Open,Monday
25,19940208,Open,Tuesday
26,19940214,Open,Monday
27,19940215,Open,Tuesday
28,19940216,Open,Wednesday
29,19940217,Open,Thursday
30,19940218,Open,Friday
31,19940221,Open,Monday
32,19940222,Open,Tuesday
33,19940223,Open,Wednesday
34,19940224,Open,Thursday
35,19940225,Open,Friday
36,19940228,Open,Monday
37,19940301,Open,Tuesday
38,19940302,Open,Wednesday
39,19940303,Open,Thursday
40,19940304,Open,Friday
41,19940307,Open,Monday
42,19940308,Open,Tuesday
43,19940309,Open,Wednesday
44,19940310,Open,Thursday
45,19940311,Open,Friday
46,19940317,Open,Thursday
47,19940318,Open,Friday
48,19940321,Open,Monday
49,19940322,Open,Tuesday
50,19940323,Open,Wednesday
51,19940324,Open,Thursday
52,19940325,Open,Friday
53,19940328,Open,Monday
54,19940329,Open,Tuesday
55,19940330,Open,Wednesday
56,19940331,Open,Thursday
57,19940401,Open,Friday
58,19940404,Open,Monday
59,19940405,Open,Tuesday
60,19940406,Open,Wednesday
61,19940407,Open,Thursday
62,19940408,Open,Friday
63,19940411,Open,Monday
64,19940412,Open,Tuesday
65,19940413,Open,Wednesday
66,19940414,Open,Thursday
67,19940415,Open,Friday
68,19940418,Open,Monday
69,19940419,Open,Tuesday
70,19940420,Open,Wednesday
71,19940421,Open,Thursday
72,19940422,Open,Friday
73,19940425,Open,Monday
74,19940426,Open,Tuesday
75,19940427,Open,Wednesday
76,19940428,Open,Thursday
77,19940429,Open,Friday
78,19940503,Open,Tuesday
79,19940504,Open,Wednesday
80,19940505,Open,Thursday
81,19940506,Open,Friday
82,19940509,Open,Monday
83,19940510,Open,Tuesday
84,19940511,Open,Wednesday
85,19940512,Open,Thursday
86,19940513,Open,Friday
87,19940516,Open,Monday
88,19940517,Open,Tuesday
89,19940518,Open,Wednesday
90,19940519,Open,Thursday
91,19940520,Open,Friday
92,19940523,Open,Monday
93,19940524,Open,Tuesday
94,19940526,Open,Thursday
95,19940527,Open,Friday
96,19940530,Open,Monday
97,19940531,Open,Tuesday
98,19940601,Open,Wednesday
99,19940602,Open,Thursday
100,19940603,Open,Friday
101,19940606,Open,Monday
102,19940607,Open,Tuesday
103,19940608,Open,Wednesday
104,19940609,Open,Thursday
105,19940610,Open,Friday
106,19940613,Open,Monday
107,19940614,Open,Tuesday
108,19940615,Open,Wednesday
109,19940616,Open,Thursday
110,19940617,Open,Friday
111,19940620,Open,Monday
112,19940621,Open,Tuesday
113,19940622,Open,Wednesday
