Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
2019-09-19,'0198,GDB HOLDINGS BERHAD,0.295,1660,"Construction, Ace Market",Ace Market,0.220-0.350,4.18,2.00,0.18,7.05,6.78,23.23,1.64,184.38,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-19,'0106,REXIT BERHAD,0.615,24,"Technology, Ace Market",Ace Market,0.530-0.725,4.16,3.00,0.20,14.78,4.88,20.80,3.08,116.44,https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-19,'0005,UCREST BERHAD,0.130,93544,"Technology, Ace Market",Ace Market,0.135-0.335,1.69,0.00,0.08,7.70,0.00,20.16,1.55,60.32,https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-19,'0197,WEGMANS HOLDINGS BERHAD,0.280,7784,"Consumer Products & Services, Ace Market",Ace Market,0.255-0.390,3.01,0.50,0.15,9.30,1.79,20.07,1.87,140.00,https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-19,'0127,JHM CONSOLIDATION BERHAD,1.190,16155,"Technology, Ace Market",Ace Market,0.820-1.380,6.59,2.00,0.34,18.06,1.68,19.38,3.50,663.54,https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-19,'0209,I-STONE GROUP BERHAD,0.185,186643,"Technology, Ace Market",Ace Market,0.160-0.245,1.04,0.00,0.03,17.82,0.00,17.31,6.17,225.97,https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-19,'0040,OPENSYS (M) BERHAD,0.335,2467,"Technology, Ace Market",Ace Market,0.275-0.370,3.32,1.50,0.20,10.08,4.48,16.61,1.68,99.79,https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-19,'0201,NOVA WELLNESS GROUP BERHAD,0.580,8806,"Health Care, Ace Market",Ace Market,0.290-0.590,3.65,0.50,0.24,15.88,0.86,15.22,2.42,184.29,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-19,'0200,REVENUE GROUP BERHAD,1.490,7299,"Technology, Ace Market",Ace Market,0.627-1.690,3.73,0.00,0.25,39.91,0.00,14.93,5.96,347.14,https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-19,'0120,VISDYNAMICS HOLDINGS BERHAD,0.410,46518,"Technology, Ace Market",Ace Market,0.310-0.775,3.52,1.02,0.24,11.63,2.49,14.69,1.71,69.36,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
2019-09-19,'0208,GREATECH TECHNOLOGY BERHAD,1.540,96794,"Technology, Ace Market",Ace Market,0.940-1.520,7.46,0.00,0.26,20.64,0.00,14.35,5.92,964.04,https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
2019-09-19,'0126,MICROLINK SOLUTIONS BERHAD,0.590,0,"Technology, Ace Market",Ace Market,0.350-0.690,1.74,0.00,0.12,33.89,0.00,14.31,4.85,98.75,https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
2019-09-19,'0158,SCC HOLDINGS BERHAD,0.520,690,"Consumer Products & Services, Ace Market",Ace Market,0.470-0.560,4.30,3.40,0.31,12.10,6.54,13.90,1.68,73.40,https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
2019-09-19,'0010,IRIS CORPORATION BERHAD,0.145,27111,"Technology, Ace Market",Ace Market,0.130-0.185,1.31,0.00,0.10,11.04,0.00,13.81,1.52,430.11,https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
2019-09-19,'0018,LAMBO GROUP BERHAD,0.055,2550,"Technology, Ace Market",Ace Market,0.050-0.120,0.79,0.00,0.06,7.00,0.00,13.29,0.93,115.62,https://www.klsescreener.com/v2/stocks/view/0018/lambo-group-berhad
2019-09-19,'0162,WIDAD GROUP BERHAD,0.265,36301,"Construction, Ace Market",Ace Market,0.215-0.380,0.93,0.00,0.07,28.61,0.00,13.23,3.79,650.48,https://www.klsescreener.com/v2/stocks/view/0162/widad-group-berhad
2019-09-19,'0157,FOCUS POINT HOLDINGS BERHAD,0.410,9800,"Consumer Products & Services, Ace Market",Ace Market,0.120-0.480,4.59,1.88,0.26,8.93,4.58,13.07,1.17,90.20,https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
2019-09-19,'0193,KEJURUTERAAN ASASTERA BERHAD,0.400,23927,"Industrial Products & Services, Ace Market",Ace Market,0.190-0.395,2.04,1.00,0.16,19.62,2.50,12.74,2.50,141.60,https://www.klsescreener.com/v2/stocks/view/0193/kejuruteraan-asastera-berhad
2019-09-19,'0039,GFM SERVICES BERHAD,0.350,12760,"Industrial Products & Services, Ace Market",Ace Market,0.335-0.550,2.67,1.10,0.21,13.11,3.14,12.72,1.67,164.82,https://www.klsescreener.com/v2/stocks/view/0039/gfm-services-berhad
2019-09-19,'0084,TECHFAST HOLDINGS BERHAD,0.305,311,"Industrial Products & Services, Ace Market",Ace Market,0.245-0.505,1.42,1.00,0.12,21.48,3.26,12.35,2.65,69.59,https://www.klsescreener.com/v2/stocks/view/0084/techfast-holdings-berhad
2019-09-19,'0026,NOVA MSC BERHAD,0.085,4985,"Technology, Ace Market",Ace Market,0.085-0.180,0.99,0.00,0.08,8.63,0.00,12.32,1.06,63.88,https://www.klsescreener.com/v2/stocks/view/0026/nova-msc-berhad
2019-09-19,'0187,BCM ALLIANCE BERHAD,0.145,2200,"Industrial Products & Services, Ace Market",Ace Market,0.140-0.250,1.48,0.20,0.12,9.82,1.38,12.30,1.21,61.08,https://www.klsescreener.com/v2/stocks/view/0187/bcm-alliance-berhad
2019-09-19,'0032,REDTONE INTERNATIONAL BERHAD,0.445,36406,"Telecommunications & Media, Ace Market",Ace Market,0.155-0.445,2.52,1.00,0.21,17.64,2.25,11.76,2.07,337.64,https://www.klsescreener.com/v2/stocks/view/0032/redtone-international-berhad
2019-09-19,'0180,KIM TECK CHEONG CONSOLIDATED BERHAD,0.145,2322,"Consumer Products & Services, Ace Market",Ace Market,0.130-0.195,2.32,0.00,0.21,6.25,0.00,11.06,0.69,73.99,https://www.klsescreener.com/v2/stocks/view/0180/kim-teck-cheong-consolidated-berhad
2019-09-19,'0146,JF TECHNOLOGY BERHAD,0.770,654,"Technology, Ace Market",Ace Market,0.655-0.990,1.58,0.00,0.15,48.75,0.00,10.62,5.18,161.70,https://www.klsescreener.com/v2/stocks/view/0146/jf-technology-berhad
2019-09-19,'0023,IFCA MSC BERHAD,0.305,12322,"Technology, Ace Market",Ace Market,0.185-0.485,1.92,1.00,0.20,15.89,3.28,9.59,1.52,185.53,https://www.klsescreener.com/v2/stocks/view/0023/ifca-msc-berhad
2019-09-19,'0191,CABNET HOLDINGS BERHAD,0.195,0,"Technology, Ace Market",Ace Market,0.190-0.345,2.47,0.70,0.26,7.91,3.57,9.43,0.75,34.86,https://www.klsescreener.com/v2/stocks/view/0191/cabnet-holdings-berhad
2019-09-19,'0196,QES GROUP BERHAD,0.195,58936,"Industrial Products & Services, Ace Market",Ace Market,0.170-0.365,1.02,0.40,0.11,19.03,2.05,9.31,1.77,147.87,https://www.klsescreener.com/v2/stocks/view/0196/qes-group-berhad
2019-09-19,'0210,KIM HIN JOO (MALAYSIA) BERHAD,0.310,439,"Consumer Products & Services, Ace Market",Ace Market,0.270-0.415,2.57,0.50,0.14,12.04,1.61,9.06,2.18,117.80,https://www.klsescreener.com/v2/stocks/view/0210/kim-hin-joo-malaysia-berhad
2019-09-19,'0150,FINTEC GLOBAL BERHAD,0.045,5850,"Trad/Serv, Ace Market",Ace Market,0.040-0.075,2.57,0.00,0.28,1.75,0.00,8.97,0.16,28.54,https://www.klsescreener.com/v2/stocks/view/0150/fintec-global-berhad
