Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-09-17,'0198,GDB ,GDB HOLDINGS BERHAD,,0.295,0.305,0.295,0.300,"240,300",1,+0.005 ,+1.69%,increasing,"891,900",0.220 - 0.370,2.00,6.67%,4.18,187.5M,7,1,1.67,0.295 / 0.300,23.22,41.73,,0.3,,"304,600 / 656,000",https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
2019-09-17,'0106,REXIT ,REXIT BERHAD,,0.6,0.610,0.610,0.610,"10,400",2,+0.010 ,+1.67%,increasing,"32,100",0.525 - 0.750,3.00,4.92%,4.16,115.5M,15,5,3.05,0.610 / 0.640,20.80,11.61,,0.3,,"9,600 / 18,300",https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
2019-09-17,'0005,UCREST ,UCREST BERHAD,,0.14,0.145,0.140,0.140,"875,900",0,0.000 ,0.00%,,"3,921,000",0.125 - 0.340,0.00,0.00%,1.69,65.0M,8,2,1.67,0.140 / 0.145,20.17,6.22,,0.2,,"286,500 / 1,012,600",https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
2019-09-17,'0197,WEGMANS ,WEGMANS HOLDINGS BERHAD,,0.265,0.265,0.260,0.265,"264,100",0,0.000 ,0.00%,,"1,779,300",0.255 - 0.405,0.50,1.89%,3.01,132.5M,9,1,1.75,0.260 / 0.265,19.87,18.71,,0.1,,"208,000 / 99,600",https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
2019-09-17,'0127,JHM ,JHM CONSOLIDATION BERHAD,,1.16,1.170,1.150,1.150,"176,400",1,-0.010 ,-0.86%,decreasing,"853,300",0.805 - 1.450,2.00,1.74%,6.59,641.2M,17,2,3.38,1.150 / 1.160,19.38,48.05,,0.2,,"45,400 / 22,500",https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
2019-09-17,'0209,ISTONE ,I-STONE GROUP BERHAD,,0.2,0.205,0.185,0.190,"35,861,600",2,-0.010 ,-5.00%,decreasing,"32,270,500",0.150 - 0.275,0.00,0.00%,1.04,232.1M,18,6,6.33,0.190 / 0.195,34.67,3.10,,1.1,,"530,100 / 3,273,100",https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
2019-09-17,'0040,OPENSYS ,OPENSYS (M) BERHAD,,0.34500000000000003,0.345,0.335,0.340,"345,000",1,-0.005 ,-1.45%,decreasing,"275,000",0.275 - 0.375,1.50,4.41%,3.32,101.3M,10,1,1.70,0.335 / 0.340,16.60,35.03,,1.3,,"203,400 / 1,300",https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
2019-09-17,'0201,NOVA ,NOVA WELLNESS GROUP BERHAD,,0.565,0.590,0.560,0.590,"1,725,800",5,+0.025 ,+4.42%,increasing,"436,500",0.280 - 0.580,0.50,0.85%,3.65,187.5M,16,6,2.46,0.585 / 0.590,15.21,9.30,,4.0,,"6,500 / 136,100",https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
2019-09-17,'0200,REVENUE ,REVENUE GROUP BERHAD,,1.53,1.530,1.510,1.510,"412,200",2,-0.020 ,-1.31%,decreasing,"1,784,600",0.905 - 1.730,0.00,0.00%,3.73,351.8M,40,6,6.16,1.510 / 1.520,15.22,25.48,,0.2,,"5,200 / 9,800",https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
2019-09-17,'0120,VIS ,VISDYNAMICS HOLDINGS BERHAD,,0.38,0.390,0.370,0.385,"967,900",1,+0.005 ,+1.32%,increasing,"886,200",0.305 - 0.795,1.02,2.65%,3.52,65.1M,11,2,1.60,0.380 / 0.385,14.67,19.13,,1.1,,"58,600 / 180,400",https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
