Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
22/8/2019,'0198,GDB HOLDINGS BERHAD,0.31,5487,"Construction, Ace Market",Ace Market,0.220-0.420,4.18,2,0.18,7.41,6.45,23.23,1.72,193.75,https://www.klsescreener.com/v2/stocks/view/0198/gdb-holdings-berhad
22/8/2019,'0106,REXIT BERHAD,0.62,248,"Technology, Ace Market",Ace Market,0.530-0.725,4.13,3,0.19,15.02,4.84,21.72,3.26,117.39,https://www.klsescreener.com/v2/stocks/view/0106/rexit-berhad
22/8/2019,'0197,WEGMANS HOLDINGS BERHAD,0.29,2897,"Consumer Products & Services, Ace Market",Ace Market,0.290-0.390,3.15,0.5,0.15,9.2,1.72,21.01,1.93,145,https://www.klsescreener.com/v2/stocks/view/0197/wegmans-holdings-berhad
22/8/2019,'0005,UCREST BERHAD,0.145,18186,"Technology, Ace Market",Ace Market,0.145-0.385,1.69,0,0.08,8.58,0,20.16,1.73,67.28,https://www.klsescreener.com/v2/stocks/view/0005/ucrest-berhad
22/8/2019,'0127,JHM CONSOLIDATION BERHAD,1.18,6996,"Technology, Ace Market",Ace Market,0.820-1.380,6.81,2,0.34,17.33,1.69,20.03,3.47,657.97,https://www.klsescreener.com/v2/stocks/view/0127/jhm-consolidation-berhad
22/8/2019,'0040,OPENSYS (M) BERHAD,0.325,1070,"Technology, Ace Market",Ace Market,0.275-0.370,3.28,1.5,0.19,9.91,4.62,17.27,1.71,96.81,https://www.klsescreener.com/v2/stocks/view/0040/opensys-m-berhad
22/8/2019,'0200,REVENUE GROUP BERHAD,1.56,3474,"Technology, Ace Market",Ace Market,0.627-1.690,3.69,0,0.21,42.26,0,16.78,7.09,361.92,https://www.klsescreener.com/v2/stocks/view/0200/revenue-group-berhad
22/8/2019,'0196,QES GROUP BERHAD,0.2,18415,"Industrial Products & Services, Ace Market",Ace Market,0.185-0.365,1.9,0.4,0.12,10.54,2,15.82,1.67,151.66,https://www.klsescreener.com/v2/stocks/view/0196/qes-group-berhad
22/8/2019,'0187,BCM ALLIANCE BERHAD,0.16,710,"Industrial Products & Services, Ace Market",Ace Market,0.160-0.250,1.88,0.2,0.12,8.52,1.25,15.65,1.33,67.4,https://www.klsescreener.com/v2/stocks/view/0187/bcm-alliance-berhad
22/8/2019,'0026,NOVA MSC BERHAD,0.095,4696,"Technology, Ace Market",Ace Market,0.095-0.180,1.1,0,0.07,8.67,0,15.65,1.36,71.4,https://www.klsescreener.com/v2/stocks/view/0026/nova-msc-berhad
22/8/2019,'0157,FOCUS POINT HOLDINGS BERHAD,0.63,5277,"Consumer Products & Services, Ace Market",Ace Market,0.160-0.640,5.59,2.5,0.36,11.27,3.97,15.52,1.75,103.95,https://www.klsescreener.com/v2/stocks/view/0157/focus-point-holdings-berhad
22/8/2019,'0158,SCC HOLDINGS BERHAD,0.505,111,"Consumer Products & Services, Ace Market",Ace Market,0.480-0.560,4.69,3.4,0.3,10.77,6.73,15.45,1.66,71.29,https://www.klsescreener.com/v2/stocks/view/0158/scc-holdings-berhad
22/8/2019,'0120,VISDYNAMICS HOLDINGS BERHAD,0.38,2202,"Technology, Ace Market",Ace Market,0.310-0.775,3.52,1.02,0.24,10.78,2.69,14.69,1.58,64.28,https://www.klsescreener.com/v2/stocks/view/0120/visdynamics-holdings-berhad
22/8/2019,'0084,TECHFAST HOLDINGS BERHAD,0.295,9392,"Industrial Products & Services, Ace Market",Ace Market,0.245-0.510,1.7,1,0.12,17.38,3.37,14.51,2.52,67.3,https://www.klsescreener.com/v2/stocks/view/0084/techfast-holdings-berhad
22/8/2019,'0010,IRIS CORPORATION BERHAD,0.155,36633,"Technology, Ace Market",Ace Market,0.130-0.185,1.29,0,0.09,12.02,0,14.03,1.69,459.77,https://www.klsescreener.com/v2/stocks/view/0010/iris-corporation-berhad
22/8/2019,'0018,LAMBO GROUP BERHAD,0.055,452841,"Technology, Ace Market",Ace Market,0.055-0.120,0.78,0,0.06,7.04,0,13.58,0.96,115.62,https://www.klsescreener.com/v2/stocks/view/0018/lambo-group-berhad
22/8/2019,'0193,KEJURUTERAAN ASASTERA BERHAD,0.25,46928,"Industrial Products & Services, Ace Market",Ace Market,0.190-0.300,2.04,0.5,0.16,12.26,2,12.74,1.56,88.5,https://www.klsescreener.com/v2/stocks/view/0193/kejuruteraan-asastera-berhad
22/8/2019,'0208,GREATECH TECHNOLOGY BERHAD,1.11,37329,"Technology, Ace Market",Ace Market,0.940-1.090,8.02,0,0.16,13.84,0,12.53,6.94,694.86,https://www.klsescreener.com/v2/stocks/view/0208/greatech-technology-berhad
22/8/2019,'0201,NOVA WELLNESS GROUP BERHAD,0.42,3900,"Health Care, Ace Market",Ace Market,0.290-0.610,2.64,2.3,0.23,15.93,5.48,11.46,1.83,133.45,https://www.klsescreener.com/v2/stocks/view/0201/nova-wellness-group-berhad
22/8/2019,'0209,I-STONE GROUP BERHAD,0.165,56661,"Technology, Ace Market",Ace Market,0.165-0.245,1.37,0,0.03,12.01,0,11.45,5.5,201.54,https://www.klsescreener.com/v2/stocks/view/0209/i-stone-group-berhad
22/8/2019,'0162,WIDAD GROUP BERHAD,0.26,23175,"Construction, Ace Market",Ace Market,0.220-0.380,0.77,0,0.07,33.65,0,11.04,3.71,638.21,https://www.klsescreener.com/v2/stocks/view/0162/widad-group-berhad
22/8/2019,'0039,GFM SERVICES BERHAD,0.41,8356,"Industrial Products & Services, Ace Market",Ace Market,0.370-0.550,2.19,1.1,0.2,18.69,2.68,10.97,2.05,193.07,https://www.klsescreener.com/v2/stocks/view/0039/gfm-services-berhad
